song,artist,year,type,gender,duration,language,tabber,source,date,difficulty,specialbooks
Last Christmas,Wham!,1984,Group,male,00:04:28,english,Mischa,off,20221206,1.824,xmas
Lava,"Kuana Torres Kahele, Napua Greig, James Ford Murphy",2015,Person,duet,00:05:36,english,Caroline,new,20230214,1.695,valentines
Le Banana Split,Lio,1979,Person,female,00:02:28,french,Bastien,new,20230718,1.658,
Learn to Fly,Foo Fighters,2013,Group,male,00:03:52,english,Mischa,new,20220329,3.019,regular
Les Champs-Élysées,Joe Dassin,1969,Person,male,00:02:26,french,Bastien,old,20230718,4.159,
Let it Be,The Beatles,1970,Group,male,00:03:42,english,Mischa,old,20220201,2.055,valentines
Levitating (feat. DaBaby),"Dua Lipa, DaBaby",2020,Person,female,00:03:23,english,Mischa,new,,,
Linger,The Cranberries,1993,Group,female,00:04:30,english,Mischa,off,20220222,1.89,"regular,womens,paddys"
Little Lion Man,Mumford and Sons,2009,Group,male,00:03:56,english,Mischa,old,20211130,2.379,regular
Little Talks,Of Monsters And Men,2011,Group,duet,00:04:02,english,Jeremie,new,,,
Live is Life,Opus,1984,Group,male,00:03:56,english,Mischa,new,,,
Livin' on a Prayer,Bon Jovi,1987,Group,male,00:03:40,english,Mischa,old,20211102,2.571,regular
Lola,The Kinks,1970,Group,male,00:03:40,english,Mischa,old,20211123,3.471,"valentines,pride"
Losing My Religion,R.E.M.,1991,Group,male,00:04:24,english,Jeremie,new,,,
Love Machine,Girls Aloud,2008,Group,female,00:03:16,english,Caroline,new,20240213,1.806,"regular,valentines,womens"
Love Me Do,The Beatles,1962,Group,male,00:02:18,english,Mischa,new,,,valentines
Luka,Suzanne Vega,1987,Person,female,00:03:44,english,Mischa,new,,,
Macarena (Bayside Boys Remix),Los Del Rio,1995,Group,duet,00:03:42,"spanish,english",Mischa,new,20220510,4.248,regular
Mah Na Mah Na,Mahna Mahna and The Two Snowths,1969,Group,duet,00:02:04,english,Mischa,new,20241022,2.033,"halloween,halloween2024"
Man! I Feel Like A Woman!,Shania Twain,1997,Person,female,00:03:54,english,Caroline,new,20220920,3.026,"regular,womens"
Material Girl,Madonna,1985,Person,female,00:04:00,english,Mischa,new,20230221,2.84,"regular,womens,pride"
Merry Christmas (I Don't Want to Fight Tonight),Ramones,1989,Group,male,00:02:00,english,Mischa,new,20221206,1.923,xmas
Merry Christmas Everyone,Shakin' Stevens,1985,Person,male,00:03:38,english,Mischa,new,20211207,,xmas
Merry Xmas Everybody,Slade,1973,Group,male,00:03:40,english,Mischa,new,20211207,3.291,xmas
